nome,cpf,idade,data,endereco,estado
 vitor gabriel silva,640.***.***-01,90.0,1933-12-06,"trevo emanuel silva, 482",AP
calebe santos,651.***.***-46,40.0,1984-03-06,"recanto moraes, 7",PB
arthur da rosa,085.***.***-30,53.0,1970-04-16,"parque almeida, 66",SE
juan pereira,520.***.***-21,68.0,1955-10-25,"rodovia de pereira, 51",BA
 ana laura ribeiro,210.***.***-20,69.0,1954-05-09,esplanada lavínia ramos,SP
maria clara araújo,960.***.***-80,41.0,1983-03-14,"praça cavalcanti, 65",RO
vitória oliveira,302.***.***-83,31.0,1993-03-10,"esplanada monteiro, 88",GO
benjamin oliveira,451.***.***-84,49.0,1974-05-16,"ladeira monteiro, 57",CE
pietro barros,843.***.***-50,51.0,1972-08-19,"recanto luiz miguel jesus, 35",PB
samuel cavalcanti,520.***.***-01,89.0,1934-11-26,"ladeira de porto, 38",TO
ian da cos,384.***.***-78,23.0,2001-01-21,"via de jesus, 57",PB
 emanuel cos,736.***.***-19,55.0,1969-03-09,"lago castro, 94",RJ
larissa da cruz,128.***.***-60,83.0,1940-11-22,"setor isadora da rosa, 583",RR
diogo carvalho,078.***.***-97,83.0,1941-03-10,"viaduto pedro lucas cavalcanti, 49",RS
 anthony almeida,305.***.***-60,37.0,1987-02-03,"rua vitor hugo pinto, 21",RJ
clara martins,397.***.***-86,77.0,1947-03-14,"rodovia aragão, 245",MG
 luiz felipe cardoso,374.***.***-20,69.0,1954-07-20,"alameda de lima, 65",PE
 calebe lopes,135.***.***-77,62.0,1961-10-19,"trecho lucas sales, 24",RO
miguel monteiro,097.***.***-41,54.0,1969-06-27,"passarela igor novaes, 89",SE
 carina da ma,468.***.***-57,81.0,1942-07-05,"sítio luna carvalho, 98",AM
joão gabriel araújo,625.***.***-25,73.0,1950-09-13,"esplanada de castro, 4",MT
 nicolas azevedo,036.***.***-33,35.0,1989-01-18,"estrada de aragão, 1",AC
kamilly caldeira,508.***.***-47,45.0,1979-07-04,via gabriela nascimento,AP
renan araújo,186.***.***-57,79.0,1945-03-06,"travessa vinicius da mata, 52",CE
vicente nascimento,054.***.***-32,63.0,1961-02-22,largo vieira,DF
isaac rocha,873.***.***-69,57.0,1966-11-30,"área lucas gabriel silveira, 51",PE
julia das neves,819.***.***-05,60.0,1963-08-28,"jardim isabelly gomes, 23",ES
breno roigues,196.***.***-34,95.0,1928-10-24,distrito de silveira,AM
isabel nogueira,968.***.***-65,63.0,1960-10-21,travessa ana júlia da rocha,TO
anthony araújo,208.***.***-26,38.0,1985-09-07,"avenida milena pires, 360",AP
 marina da cunha,067.***.***-95,55.0,1968-09-09,"rodovia marcelo souza, 25",RN
helena cardoso,853.***.***-39,51.0,1972-05-29,"pátio alexandre teixeira, 243",RR
luigi nunes,593.***.***-24,50.0,1973-06-17,"via clara da rosa, 928",RR
 raquel da cos,278.***.***-09,58.0,1965-05-07,"estação ribeiro, 46",PB
 ana vitória oliveira,120.***.***-17,61.0,1963-11-01,"sítio de cavalcanti, 97",PA
luiza campos,974.***.***-03,52.0,1972-01-13,"condomínio de rodrigues, 52",SC
lucca da paz,526.***.***-95,71.0,1952-04-14,"rodovia vieira, 63",RN
nathan da rosa,907.***.***-25,31.0,1992-11-05,"recanto de da conceição, 1",AM
lívia silveira,804.***.***-85,61.0,1962-11-22,"setor de azevedo, 375",AL
isabel cavalcanti,492.***.***-04,54.0,1969-05-10,"ladeira pietra cunha, 13",PA
rafael nunes,285.***.***-76,38.0,1985-08-28,"vereda davi lucca barbosa, 35",GO
elisa fogaça,572.***.***-92,95.0,1928-12-13,"rodovia ana júlia araújo, 68",PE
agatha ramos,948.***.***-85,24.0,2000-12-03,"distrito de barros, 41",RJ
kamilly rocha,946.***.***-48,59.0,1964-09-19,"feira campos, 17",DF
antônio das neves,435.***.***-82,40.0,1983-07-31,"avenida vitor hugo cardoso, 34",SC
luiz gusvo alves,198.***.***-10,45.0,1978-07-08,"rodovia de souza, 63",MS
emanuella fernandes,097.***.***-96,87.0,1936-07-21,"residencial ian da paz, 6",PR
 ana beatriz farias,431.***.***-39,62.0,1961-08-07,"ladeira de da paz, 98",PE
yago monteiro,865.***.***-00,44.0,1979-06-22,"ladeira pereira, 21",BA
yasmin gonçalves,017.***.***-14,76.0,1947-09-26,"área barros, 46",BA
bruna nascimento,132.***.***-52,34.0,1989-04-13,"vereda luiz felipe costa, 70",DF
davi luiz nogueira,873.***.***-50,97.0,1926-12-20,"vila sales, 97",ES
ian monteiro,324.***.***-91,24.0,1999-12-11,"favela alana ribeiro, 318",MS
 helena silva,905.***.***-01,35.0,1988-11-14,"parque freitas, 82",AC
bárbara novaes,038.***.***-15,88.0,1935-05-24,"trecho bryan da cunha, 1",PA
 peo lucas costela,534.***.***-00,30.0,1993-08-24,esplanada moreira,ES
rafael jesus,673.***.***-80,22.0,2001-08-16,"campo de barros, 16",DF
 alícia caldeira,051.***.***-70,90.0,1934-12-04,"distrito esther campos, 264",PA
danilo martins,760.***.***-39,99.0,1925-03-30,"largo pires, 78",AP
 gabriel da rosa,530.***.***-53,49.0,1974-09-10,campo isabelly freitas,CE
augusto teixeira,412.***.***-16,69.0,1954-11-15,favela maria novaes,RR
ana julia da rosa,630.***.***-65,42.0,1981-10-10,"trevo moraes, 5",SP
lucca barbosa,836.***.***-77,97.0,1926-06-12,"rua mendes, 337",SP
amanda da cos,268.***.***-29,23.0,2000-11-20,"lagoa cardoso, 1",SP
 francisco cardoso,430.***.***-50,96.0,1927-10-30,"lago maitê campos, 31",TO
lorena farias,268.***.***-82,92.0,1931-04-17,"residencial barbosa, 44",AP
anthony da cos,935.***.***-97,36.0,1988-02-13,"recanto de rocha, 68",SE
cauã roigues,107.***.***-87,98.0,1926-02-11,"vale gustavo henrique alves, 50",AL
anthony barbosa,631.***.***-00,86.0,1937-08-19,vila farias,RN
ana julia almeida,179.***.***-09,22.0,2001-07-20,"fazenda de porto, 3",MA
milena barros,314.***.***-51,74.0,1950-08-04,"setor miguel pires, 3",PA
murilo gomes,759.***.***-93,99.0,1924-05-22,morro de castro,SP
daniel barbosa,812.***.***-98,28.0,1995-10-05,"praça ferreira, 764",CE
 samuel cardoso,039.***.***-96,47.0,1977-03-20,"vereda cauê novaes, 14",BA
ana laura sales,863.***.***-22,78.0,1945-11-24,"fazenda de pinto, 42",PR
mariana cunha,492.***.***-25,81.0,1942-07-24,"loteamento luiz felipe teixeira, 87",AM
 joão guilherme cavalcanti,347.***.***-70,38.0,1985-09-30,"quadra emanuella da conceição, 29",MS
kamilly rocha,365.***.***-10,63.0,1960-10-29,"rodovia danilo costa, 17",MS
gabriel nunes,940.***.***-04,55.0,1968-11-21,vila stephany lima,PA
rafael correia,579.***.***-05,72.0,1952-01-03,"morro de cardoso, 47",SE
ana lívia barbosa,925.***.***-60,62.0,1961-05-30,lagoa sarah azevedo,CE
maitê teixeira,694.***.***-39,90.0,1933-05-11,"loteamento oliveira, 29",PE
carlos eduardo santos,937.***.***-37,69.0,1955-03-29,"largo nascimento, 97",PR
enzo gabriel araújo,349.***.***-96,70.0,1953-09-15,endereço inválido,DESCONHECIDO
breno moreira,184.***.***-49,40.0,1984-03-23,"aeroporto de das neves, 7",AL
julia lopes,106.***.***-31,47.0,1977-02-13,"conjunto de cardoso, 5",PR
ané lima,645.***.***-70,79.0,1944-11-06,viaduto cardoso,RO
joão gabriel barbosa,190.***.***-67,55.0,1969-02-23,fazenda de barros,DF
,438.***.***-56,21.0,2002-04-13,colônia maria vitória moura,GO
